Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
-92.0,-90.0,-93.0,-65.0,-92.0,0
-92.0,-90.0,-93.0,-72.0,-92.0,0
-92.0,-90.0,-93.0,-62.0,-92.0,0
-92.0,-90.0,-93.0,-63.0,-92.0,0
-92.0,-90.0,-93.0,-59.0,-92.0,0
-92.0,-90.0,-93.0,-66.0,-92.0,0
-92.0,-90.0,-93.0,-60.0,-92.0,0
-92.0,-90.0,-93.0,-60.0,-92.0,0
-92.0,-90.0,-93.0,-63.0,-92.0,0
-92.0,-90.0,-93.0,-66.0,-92.0,0
-92.0,-90.0,-93.0,-73.0,-92.0,0
-92.0,-90.0,-93.0,-60.0,-92.0,0
-92.0,-90.0,-93.0,-36.0,-92.0,0
-92.0,-90.0,-93.0,-47.0,-92.0,0
-92.0,-90.0,-93.0,-65.0,-92.0,0
-92.0,-90.0,-93.0,-65.0,-92.0,0
-92.0,-90.0,-93.0,-72.0,-92.0,0
-92.0,-90.0,-93.0,-74.0,-92.0,0
-92.0,-90.0,-93.0,-62.0,-92.0,0
-92.0,-90.0,-93.0,-61.0,-92.0,0
-92.0,-90.0,-93.0,-73.0,-92.0,0
-92.0,-90.0,-93.0,-64.0,-92.0,0
-92.0,-90.0,-93.0,-62.0,-92.0,0
-92.0,-90.0,-93.0,-64.0,-92.0,0
-92.0,-90.0,-93.0,-67.0,-92.0,0
-92.0,-90.0,-93.0,-61.0,-92.0,0
-92.0,-90.0,-93.0,-63.0,-92.0,0
-92.0,-90.0,-93.0,-67.0,-92.0,0
-92.0,-90.0,-93.0,-67.0,-92.0,0
-92.0,-90.0,-93.0,-66.0,-92.0,0
-92.0,-90.0,-93.0,-73.0,-92.0,0
-92.0,-90.0,-91.0,-60.0,-92.0,0
-92.0,-90.0,-91.0,-67.0,-92.0,0
-92.0,-90.0,-91.0,-53.0,-92.0,0
-92.0,-90.0,-91.0,-64.0,-92.0,0
-92.0,-90.0,-91.0,-62.0,-92.0,0
-92.0,-90.0,-91.0,-62.0,-92.0,0
-92.0,-90.0,-91.0,-65.0,-92.0,0
-92.0,-90.0,-93.0,-61.0,-92.0,0
-92.0,-90.0,-93.0,-68.0,-92.0,0
-92.0,-90.0,-93.0,-63.0,-92.0,0
-92.0,-90.0,-93.0,-48.0,-92.0,0
-92.0,-90.0,-93.0,-69.0,-92.0,0
-92.0,-90.0,-93.0,-59.0,-92.0,0
-92.0,-90.0,-93.0,-64.0,-92.0,0
-92.0,-90.0,-95.0,-63.0,-92.0,0
-92.0,-90.0,-94.0,-68.0,-92.0,0
-92.0,-90.0,-91.0,-66.0,-92.0,0
-92.0,-92.0,-95.0,-61.0,-92.0,0
-92.0,-92.0,-97.0,-66.0,-92.0,0
-92.0,-92.0,-97.0,-62.0,-92.0,0
-92.0,-92.0,-97.0,-58.0,-92.0,0
-92.0,-92.0,-97.0,-60.0,-92.0,0
-92.0,-92.0,-97.0,-60.0,-92.0,0
-92.0,-92.0,-93.0,-59.0,-92.0,0
-92.0,-92.0,-93.0,-61.0,-92.0,0
-92.0,-92.0,-93.0,-61.0,-92.0,0
-92.0,-92.0,-93.0,-64.0,-92.0,0
-92.0,-92.0,-93.0,-67.0,-92.0,0
-92.0,-92.0,-93.0,-61.0,-92.0,0
-92.0,-92.0,-93.0,-62.0,-92.0,0
-92.0,-92.0,-93.0,-64.0,-92.0,0
-92.0,-92.0,-93.0,-58.0,-92.0,0
-92.0,-92.0,-93.0,-63.0,-92.0,0
-92.0,-92.0,-93.0,-65.0,-92.0,0
-92.0,-92.0,-96.0,-64.0,-92.0,0
-92.0,-92.0,-96.0,-59.0,-92.0,0
-92.0,-92.0,-96.0,-62.0,-92.0,0
-92.0,-92.0,-96.0,-57.0,-92.0,0
-92.0,-92.0,-96.0,-57.0,-92.0,0
-92.0,-92.0,-96.0,-60.0,-92.0,0
-92.0,-84.0,-69.0,-86.0,-93.0,1
-92.0,-87.0,-73.0,-80.0,-93.0,1
-92.0,-78.0,-87.0,-85.0,-93.0,1
-92.0,-88.0,-77.0,-85.0,-93.0,1
-92.0,-64.0,-90.0,-85.0,-93.0,1
-91.0,-64.0,-72.0,-85.0,-90.0,1
-87.0,-65.0,-65.0,-85.0,-91.0,1
-87.0,-74.0,-90.0,-85.0,-91.0,1
-87.0,-77.0,-77.0,-85.0,-94.0,1
-87.0,-67.0,-86.0,-85.0,-94.0,1
-87.0,-67.0,-89.0,-85.0,-94.0,1
-87.0,-73.0,-88.0,-85.0,-94.0,1
-87.0,-80.0,-88.0,-85.0,-94.0,1
-87.0,-63.0,-83.0,-85.0,-94.0,1
-87.0,-62.0,-86.0,-85.0,-94.0,1
-87.0,-66.0,-85.0,-85.0,-94.0,1
-87.0,-76.0,-84.0,-85.0,-94.0,1
-87.0,-90.0,-81.0,-85.0,-94.0,1
-87.0,-80.0,-82.0,-92.0,-88.0,1
-88.0,-84.0,-67.0,-85.0,-88.0,1
-93.0,-89.0,-80.0,-88.0,-88.0,1
-93.0,-75.0,-68.0,-83.0,-88.0,1
-93.0,-87.0,-71.0,-90.0,-88.0,1
-93.0,-70.0,-85.0,-90.0,-88.0,1
-93.0,-71.0,-79.0,-90.0,-88.0,1
-93.0,-71.0,-89.0,-90.0,-88.0,1
-93.0,-67.0,-74.0,-90.0,-88.0,1
-93.0,-62.0,-75.0,-90.0,-88.0,1
-93.0,-84.0,-85.0,-90.0,-88.0,1
-93.0,-76.0,-88.0,-90.0,-92.0,1
-93.0,-62.0,-89.0,-90.0,-92.0,1
-93.0,-67.0,-86.0,-90.0,-92.0,1
-93.0,-73.0,-81.0,-89.0,-92.0,1
-93.0,-80.0,-89.0,-86.0,-92.0,1
-93.0,-80.0,-73.0,-81.0,-92.0,1
-93.0,-88.0,-87.0,-81.0,-92.0,1
-93.0,-73.0,-67.0,-83.0,-92.0,1
-93.0,-73.0,-73.0,-83.0,-92.0,1
-93.0,-67.0,-73.0,-83.0,-92.0,1
-93.0,-72.0,-89.0,-90.0,-92.0,1
-93.0,-82.0,-75.0,-90.0,-95.0,1
-93.0,-75.0,-83.0,-76.0,-91.0,1
-93.0,-91.0,-78.0,-89.0,-91.0,1
-93.0,-71.0,-90.0,-89.0,-91.0,1
-93.0,-73.0,-76.0,-89.0,-91.0,1
-93.0,-63.0,-88.0,-89.0,-91.0,1
-93.0,-62.0,-89.0,-89.0,-91.0,1
-93.0,-66.0,-74.0,-89.0,-91.0,1
-93.0,-68.0,-88.0,-89.0,-91.0,1
-93.0,-63.0,-88.0,-95.0,-91.0,1
-93.0,-61.0,-88.0,-95.0,-91.0,1
